file_path,line_number,category,matched_text,token_name,fallback_value
src/app/components/AccordionDocumentation.tsx,16,a,--cvp-accordion-content-padding-x,,
src/app/components/AccordionDocumentation.tsx,16,a,--cvp-space-4,,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-primary),--cvp-color-text-primary,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-focus-glow-color),--cvp-focus-glow-color,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-page),--cvp-color-surface-page,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-link-default),--cvp-color-text-link-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-secondary),--cvp-color-text-secondary,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-default),--cvp-color-surface-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-container),--cvp-border-container,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-shape-surface-base),--cvp-shape-surface-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-sunken),--cvp-color-surface-sunken,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-base),--cvp-border-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-shape-surface-subtle),--cvp-shape-surface-subtle,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-link-default),--cvp-color-text-link-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-link-default),--cvp-color-text-link-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-sunken),--cvp-color-surface-sunken,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-base),--cvp-border-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-shape-surface-subtle),--cvp-shape-surface-subtle,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-shape-control-base),--cvp-shape-control-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-subtle),--cvp-border-subtle,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-base),--cvp-border-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-divider),--cvp-border-divider,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-container),--cvp-border-container,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-strong),--cvp-border-strong,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-section),--cvp-border-section,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-selected),--cvp-border-selected,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-base),--cvp-border-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-focus-ring),--cvp-border-focus-ring,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-shape-surface-raised),--cvp-shape-surface-raised,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-sunken),--cvp-color-surface-sunken,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-raised),--cvp-color-surface-raised,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-primary),--cvp-color-text-primary,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-border-default),--cvp-color-border-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-border-strong),--cvp-color-border-strong,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-link-default),--cvp-color-text-link-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-focus-glow-color),--cvp-focus-glow-color,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-error),--cvp-color-text-error,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-border-default),--cvp-color-border-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-bg),--bs-bg,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-border-default),--cvp-color-border-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-page),--cvp-color-surface-page,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-on-brand),--cvp-color-text-on-brand,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-primary),--cvp-color-text-primary,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-border-strong),--cvp-color-border-strong,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-border-strong),--cvp-color-border-strong,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-link-default),--cvp-color-text-link-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-focus-glow-color),--cvp-focus-glow-color,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-error),--cvp-color-text-error,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-border-default),--cvp-color-border-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-bg),--bs-bg,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-border-default),--cvp-color-border-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-text),--bs-text,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-muted),--bs-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-muted),--bs-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-muted),--bs-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-text),--bs-text,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-field),--bs-field,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-base),--bs-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-shape-control-base),--cvp-shape-control-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-hover),--bs-hover,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-focus),--bs-focus,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-focus),--bs-focus,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-halo),--bs-halo,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-error),--bs-error,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-muted),--bs-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-disabled),--bs-disabled,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-text),--bs-text,
src/app/components/BorderFoundationPreview.css,1,e,var(--bs-base),--bs-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-shape-control-base),--cvp-shape-control-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-brand-default),--cvp-color-brand-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-state-info-bg),--cvp-color-state-info-bg,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-sunken),--cvp-color-surface-sunken,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-base),--cvp-border-base,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-shape-surface-subtle),--cvp-shape-surface-subtle,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-raised),--cvp-color-surface-raised,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-sunken),--cvp-color-surface-sunken,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-overlay),--cvp-color-surface-overlay,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-surface-raised),--cvp-color-surface-raised,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-divider),--cvp-border-divider,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-border-divider),--cvp-border-divider,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-link-default),--cvp-color-text-link-default,
src/app/components/BorderFoundationPreview.css,1,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/BorderFoundationPreview.css,1,a,--dark,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-bg,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-field,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-text,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-muted,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-base,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-hover,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-focus,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-halo,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-error,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-disabled,,
src/app/components/BorderFoundationPreview.css,1,a,--light,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-bg,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-field,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-text,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-muted,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-base,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-hover,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-focus,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-halo,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-error,,
src/app/components/BorderFoundationPreview.css,1,a,--bs-disabled,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:11px,,
src/app/components/BorderFoundationPreview.css,1,b,font-weight:700,,
src/app/components/BorderFoundationPreview.css,1,b,letter-spacing:.14em,,
src/app/components/BorderFoundationPreview.css,1,b,line-height:.95,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:16px,,
src/app/components/BorderFoundationPreview.css,1,b,line-height:1.65,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:18px,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:12px,,
